time="2026-08-30T19:17:05-06:00" level=info msg="AWS API call" account=000000000000 api="iam:ListAccessKeys" cache=miss userName=fn1-privesc3-partial-user
time="2026-08-30T19:17:05-06:00" level=info msg="AWS API call" account=000000000000 api="elasticbeanstalk:DescribeApplications" cache=miss region=us-east-2
time="2026-08-30T19:17:05-06:00" level=info msg="AWS API call" account=000000000000 api="emr:ListClusters" cache=miss region=us-east-2
time="2026-08-30T19:17:05-06:00" level=info msg="AWS API call" account=000000000000 api="iam:ListAccessKeys" cache=miss userName=fn2-exploitableResourceConstraint-user
time="2026-08-30T19:17:05-06:00" level=info msg="AWS API call" account=000000000000 api="emr:ListClusters" cache=miss region=us-east-2
time="2026-08-30T19:17:05-06:00" level=info msg="AWS API call" account=000000000000 api="iam:ListAccessKeys" cache=miss userName=fn3-exploitableConditionConstraint-user
time="2026-08-30T19:17:05-06:00" level=info msg="AWS API call" account=000000000000 api="ec2:DescribeVolumes" cache=miss region=ap-southeast-2
time="2026-08-30T19:17:05-06:00" level=info msg="AWS API call" account=000000000000 api="apigatewayv2:GetApis" cache=miss region=ap-southeast-2
time="2026-08-30T19:17:05-06:00" level=info msg="AWS API call" account=000000000000 api="athena:ListDataCatalogs" cache=miss region=ap-southeast-2
time="2026-08-30T19:17:05-06:00" level=info msg="AWS API call" account=000000000000 api="cloudformation:ListStacks" cache=miss region=ap-southeast-2
time="2026-08-30T19:17:05-06:00" level=info msg="AWS API call" account=000000000000 api="codeartifact:ListDomains" cache=miss region=ap-southeast-2
time="2026-08-30T19:17:05-06:00" level=info msg="AWS API call" account=000000000000 api="codebuild:ListProjects" cache=hit region=ap-southeast-2
time="2026-08-30T19:17:05-06:00" level=info msg="AWS API call" account=000000000000 api="codecommit:ListRepositories" cache=miss region=ap-southeast-2
time="2026-08-30T19:17:05-06:00" level=info msg="AWS API call" account=000000000000 api="codedeploy:ListApplications" cache=miss region=ap-southeast-2
time="2026-08-30T19:17:05-06:00" level=info msg="AWS API call" account=000000000000 api="codedeploy:ListDeployments" cache=miss region=ap-southeast-2
time="2026-08-30T19:17:05-06:00" level=info msg="AWS API call" account=000000000000 api="dynamodb:ListTables" cache=miss region=ap-southeast-2
time="2026-08-30T19:17:05-06:00" level=info msg="AWS API call" account=000000000000 api="eks:ListClusters" cache=miss region=ap-southeast-2
time="2026-08-30T19:17:05-06:00" level=info msg="AWS API call" account=000000000000 api="ecs:ListClusters" cache=miss region=ap-southeast-2
time="2026-08-30T19:17:05-06:00" level=info msg="AWS API call" account=000000000000 api="ecs:ListClusters" cache=miss region=ap-southeast-2
time="2026-08-30T19:17:05-06:00" level=info msg="AWS API call" account=000000000000 api="ecs:ListClusters" cache=miss region=ap-southeast-2
time="2026-08-30T19:17:05-06:00" level=info msg="AWS API call" account=000000000000 api="iam:ListAccessKeys" cache=miss userName=fn4-exploitableNotAction-user
time="2026-08-30T19:17:05-06:00" level=info msg="AWS API call" account=000000000000 api="ecr:DescribeRepositories" cache=miss region=ap-southeast-2
time="2026-08-30T19:17:05-06:00" level=info msg="AWS API call" account=000000000000 api="athena:ListDatabases" cache=miss catalogName=AwsDataCatalog region=us-east-2
time="2026-08-30T19:17:05-06:00" level=info msg="AWS API call" account=000000000000 api="eks:ListClusters" cache=miss region=ap-southeast-2
time="2026-08-30T19:17:05-06:00" level=info msg="AWS API call" account=000000000000 api="elasticache:DescribeCacheClusters" cache=miss region=ap-southeast-2
time="2026-08-30T19:17:05-06:00" level=info msg="AWS API call" account=000000000000 api="elbv2:DescribeLoadBalancers" cache=miss region=ap-southeast-2
time="2026-08-30T19:17:05-06:00" level=info msg="AWS API call" account=000000000000 api="elb:DescribeLoadBalancers" cache=miss region=ap-southeast-2
time="2026-08-30T19:17:05-06:00" level=info msg="AWS API call" account=000000000000 api="emr:ListClusters" cache=miss region=ap-southeast-2
time="2026-08-30T19:17:05-06:00" level=info msg="AWS API call" account=000000000000 api="ecs:ListClusters" cache=miss region=us-east-1
time="2026-08-30T19:17:05-06:00" level=info msg="AWS API call" account=000000000000 api="apigatewayv2:GetApis" cache=miss region=us-east-1
time="2026-08-30T19:17:05-06:00" level=info msg="AWS API call" account=000000000000 api="athena:ListDataCatalogs" cache=miss region=us-east-1
time="2026-08-30T19:17:05-06:00" level=info msg="AWS API call" account=000000000000 api="cloudformation:ListStacks" cache=miss region=us-east-1
time="2026-08-30T19:17:05-06:00" level=info msg="AWS API call" account=000000000000 api="codeartifact:ListDomains" cache=miss region=us-east-1
